Team 1,Team 2,Round,Time,Venue,Notes
Team A,Team B,Group A - Match 1,9:00 AM,Court 1,
Team C,Team D,Group A - Match 2,10:00 AM,Court 1,
Team E,Team F,Group A - Match 3,11:00 AM,Court 1,
Team A,Team C,Group A - Match 4,12:00 PM,Court 1,
Team B,Team D,Group B - Match 1,9:00 AM,Court 2,
Team E,Team F,Group B - Match 2,10:00 AM,Court 2,
,,Quarter Final 1,2:00 PM,Court 1,
,,Quarter Final 2,3:00 PM,Court 1,
,,Quarter Final 3,4:00 PM,Court 1,
,,Quarter Final 4,5:00 PM,Court 1,
,,Semifinal 1,9:00 AM,Court 1,
,,Semifinal 2,10:00 AM,Court 1,
,,3rd-4th Placing,11:00 AM,Court 1,Bronze medal match
,,Final,12:00 PM,Court 1,Championship match
